event_id,matchup,home_team,away_team,venue,address,state,date,start_Time,min_Price,max_Price
13,Los Angeles Lakers vs. Toronto Raptors,Los Angeles Lakers,Toronto Raptors,STAPLES Center,1111 S. Figueroa St,CA,2021-05-02,19:00:00,45,654
14,Houston Rockets vs. Minnesota Timberwolves,Houston Rockets,Minnesota Timberwolves,Toyota Center - TX,1510 Polk St,TX,2021-04-27,19:00:00,0,0
15,Los Angeles Lakers vs. Phoenix Suns,Los Angeles Lakers,Phoenix Suns,STAPLES Center,1111 S. Figueroa St,CA,2021-05-09,19:00:00,45,654
16,Orlando Magic vs. Boston Celtics,Orlando Magic,Boston Celtics,Amway Center,400 W Church St.,FL,2021-05-05,19:00:00,26,1996.5
17,Houston Rockets vs. Philadelphia 76ers,Houston Rockets,Philadelphia 76ers,Toyota Center - TX,1510 Polk St,TX,2021-05-05,19:00:00,0,0
18,Indiana Pacers vs. Los Angeles Lakers,Indiana Pacers,Los Angeles Lakers,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-05-15, ,50,707
19,Toronto Raptors vs. Washington Wizards,Toronto Raptors,Washington Wizards,Amalie Arena,401 Channelside Dr,FL,2021-05-06,19:30:00,16.25,106.25
20,Atlanta Hawks vs. Washington Wizards,Atlanta Hawks,Washington Wizards,State Farm Arena,One State Farm Drive,GA,2021-05-12,19:30:00,19,999
21,Atlanta Hawks vs. Washington Wizards,Atlanta Hawks,Washington Wizards,State Farm Arena,One State Farm Drive,GA,2021-05-10,19:30:00,19,999
22,Toronto Raptors vs. Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Amalie Arena,401 Channelside Dr,FL,2021-04-21,19:00:00,56.25,316.25
23,Dallas Mavericks vs. Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,American Airlines Center,2500 Victory Avenue,TX,2021-04-22,20:30:00,50,3200
24,Washington Wizards vs. Indiana Pacers,Washington Wizards,Indiana Pacers,Capital One Arena,601 F Street NW,DC,2021-05-03,19:00:00,16,500
